form,tags
abalassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
abalassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
abale,"['first-person', 'indicative', 'present', 'singular']"
abale,"['indicative', 'present', 'singular', 'third-person']"
abale,"['first-person', 'present', 'singular', 'subjunctive']"
abale,"['present', 'singular', 'subjunctive', 'third-person']"
abale,"['imperative', 'second-person', 'singular']"
abalent,"['plural', 'present', 'subjunctive', 'third-person']"
abalent,"['indicative', 'plural', 'present', 'third-person']"
abaler,['infinitive']
abalera,"['future', 'indicative', 'singular', 'third-person']"
abalerai,"['first-person', 'future', 'indicative', 'singular']"
abaleraient,"['conditional', 'plural', 'third-person']"
abalerais,"['conditional', 'second-person', 'singular']"
abalerais,"['conditional', 'first-person', 'singular']"
abalerait,"['conditional', 'singular', 'third-person']"
abaleras,"['future', 'indicative', 'second-person', 'singular']"
abalerez,"['future', 'indicative', 'plural', 'second-person']"
abaleriez,"['conditional', 'plural', 'second-person']"
abalerions,"['conditional', 'first-person', 'plural']"
abalerons,"['first-person', 'future', 'indicative', 'plural']"
abaleront,"['future', 'indicative', 'plural', 'third-person']"
abales,"['indicative', 'present', 'second-person', 'singular']"
abales,"['present', 'second-person', 'singular', 'subjunctive']"
abalez,"['imperative', 'plural', 'second-person']"
abalez,"['indicative', 'plural', 'present', 'second-person']"
abaliez,"['plural', 'present', 'second-person', 'subjunctive']"
abaliez,"['imperfect', 'indicative', 'plural', 'second-person']"
abalions,"['first-person', 'imperfect', 'indicative', 'plural']"
abalions,"['first-person', 'plural', 'present', 'subjunctive']"
abaliène,"['first-person', 'indicative', 'present', 'singular']"
abaliène,"['indicative', 'present', 'singular', 'third-person']"
abaliène,"['first-person', 'present', 'singular', 'subjunctive']"
abaliène,"['present', 'singular', 'subjunctive', 'third-person']"
abaliène,"['imperative', 'second-person', 'singular']"
abaliènent,"['plural', 'present', 'subjunctive', 'third-person']"
abaliènent,"['indicative', 'plural', 'present', 'third-person']"
abaliènera,"['future', 'indicative', 'singular', 'third-person']"
abaliènerai,"['first-person', 'future', 'indicative', 'singular']"
abalièneraient,"['conditional', 'plural', 'third-person']"
abaliènerais,"['conditional', 'first-person', 'singular']"
abaliènerais,"['conditional', 'second-person', 'singular']"
abaliènerait,"['conditional', 'singular', 'third-person']"
abalièneras,"['future', 'indicative', 'second-person', 'singular']"
abaliènerez,"['future', 'indicative', 'plural', 'second-person']"
abalièneriez,"['conditional', 'plural', 'second-person']"
abaliènerions,"['conditional', 'first-person', 'plural']"
abaliènerons,"['first-person', 'future', 'indicative', 'plural']"
abalièneront,"['future', 'indicative', 'plural', 'third-person']"
abaliènes,"['present', 'second-person', 'singular', 'subjunctive']"
abaliènes,"['indicative', 'present', 'second-person', 'singular']"
abaliéna,"['historic', 'indicative', 'past', 'singular', 'third-person']"
abaliénai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
abaliénaient,"['imperfect', 'indicative', 'plural', 'third-person']"
abaliénais,"['first-person', 'imperfect', 'indicative', 'singular']"
abaliénais,"['imperfect', 'indicative', 'second-person', 'singular']"
abaliénait,"['imperfect', 'indicative', 'singular', 'third-person']"
